"X.1","X","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","dateupload","datetaken","datetakengranularity","datetakenunknown","tags","accuracy","context","place_id","woeid","geo_is_family","geo_is_friend","geo_is_contact","geo_is_public","url_z","height_z","width_z","url_o","height_o","width_o","year","URL","long","lat","canopy_pct","elevation","slope","srad","stream_dist","asp","cold_air_ind","srad_noc","relev_30m","X_UTM","Y_UTM","acc_times","grid100","grid500","grid1000","grid5000","water_year","sdd_pred","sdd_lwr","sdd_upr","sdd_range","yearfact","datetaken_DOY","days_since_snow","min_dist_center","nearest_center","datePOSIX","UniqueID","Collector","Species","Phenophase","Nonfocal_spp","Notes"
5371,10076,6089479985,"27913600@N00","40c691ecbf",6193,7,"",1,0,0,1314556643,"2011-08-27",0,0,"",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm7.staticflickr.com/6193/6089479985_40c691ecbf_z.jpg",640,480,"https://farm7.staticflickr.com/6193/6089479985_17669056fb_o.jpg",1024,768,2011,"http://flickr.com/photos/27913600@N00/6089479985",-121.593163,46.950672,0,1772.54113769531,1.10141468048096,8423.794921875,10.0831718444824,219.983759258115,0.633499979972839,1819729,0.0150027109623352,607054.5,5200642.5,3.49943848958167,21256,876,215,876,2011,218.081254379266,211.201049605256,225.231031443214,14.0299818379578,2011,239,21,5567.28455382162,"Sunrise",2011-08-27,"27913600@N00.6089479985",NA,NA,NA,NA,NA
5372,10077,6089409781,"27913600@N00","5403e257a1",6063,7,"",1,0,0,1314555470,"2011-08-27",0,0,"",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm7.staticflickr.com/6063/6089409781_5403e257a1_z.jpg",480,640,"https://farm7.staticflickr.com/6063/6089409781_f8ab45f979_o.jpg",768,1024,2011,"http://flickr.com/photos/27913600@N00/6089409781",-121.593163,46.950672,0,1772.54113769531,1.10141468048096,8423.794921875,10.0831718444824,219.983759258115,0.633499979972839,1819729,0.0150027109623352,607054.5,5200642.5,3.49943848958167,21256,876,215,876,2011,218.081254379266,211.201049605256,225.231031443214,14.0299818379578,2011,239,21,5567.28455382162,"Sunrise",2011-08-27,"27913600@N00.6089409781",NA,NA,NA,NA,NA
5464,10207,14524181438,"93101776@N00","ee77b470ae",3921,4,"Road to Rainier",1,0,0,1405969686,"2012-06-13",0,0,"road street trip travel trees winter sky people usa white mist mountain snow tree tourism ice nature wet weather fog rural america turn forest season landscape outside outdoors photography freedom frozen us washington high dangerous haze highway frost day driving mt view traffic state pacific northwest nps outdoor snowy top no north sightseeing scenic parks peak nobody scene tourist mount national lane transportation mountrainier rainier mountrainiernationalpark fir destination environment recreation striped 20mmf28 d7000 mnrp mtrainier8927",16,0,"Sq8PmjxTVrxcEJpp",2468166,0,0,0,1,"https://farm4.staticflickr.com/3921/14524181438_ee77b470ae_z.jpg",640,424,NA,NA,NA,2012,"http://flickr.com/photos/93101776@N00/14524181438",-121.706167,46.768028,0,1377.10668945312,3.51601409912109,6965.275390625,115.107192993164,106.642604549495,0.487250000238419,1399504,-1.05716741423589,598789.5,5180200.5,0.671173505854148,97674,3934,1005,3934,2012,176.316797818894,170.770757903241,182.273960139194,11.5032022359535,2012,165,-11,3049.09153281186,"Paradise",2012-06-13,"Road to Rainier.2012-06-13.46.768028.-121.706167",NA,NA,NA,NA,NA
5466,10212,11311363123,"55899049@N06","23cc460888",5520,6,"David Photo 7",1,0,0,1386698999,"2012-07-05",0,0,"nationalpark hike mtrainier",16,0,"niEHOU5TVrxjm8g0",2468129,0,0,0,1,"https://farm6.staticflickr.com/5520/11311363123_23cc460888_z.jpg",428,640,"https://farm6.staticflickr.com/5520/11311363123_5ac9abf5ba_o.jpg",1370,2048,2012,"http://flickr.com/photos/55899049@N06/11311363123",-121.72918,46.768087,0,1484.85217285156,7.06237554550171,8809.2119140625,26.2615127563477,6.30006156868286,0.631874978542328,1646694,0.812585872806721,597031.5,5180176.5,0.618104794643427,98031,3931,1003,3931,2012,179.66151292235,174.3000984316,185.054460885178,10.7543624535783,2012,187,7,2058.51489756156,"Paradise",2012-07-05,"David Photo 7.2012-07-05.46.768087.-121.72918",NA,NA,NA,NA,NA
5467,10225,9868028934,"76338027@N06","35826be99f",7353,8,"MRNP120727_9481",1,0,0,1379829988,"2012-07-29",0,0,"washington unitedstates pasqueflower mountrainer naches greatnature",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm8.staticflickr.com/7353/9868028934_35826be99f_z.jpg",640,640,"https://farm8.staticflickr.com/7353/9868028934_ef25c55dfb_o.jpg",3000,3000,2012,"http://flickr.com/photos/76338027@N06/9868028934",-121.515345,46.871955,0,1663.87890625,18.0013198852539,7999.47705078125,141.893157958984,287.61910299342,0.453750014305115,2147483647,1.81905636952911,613141.5,5192005.5,0.483195560827719,53567,2163,563,2163,2012,182.00630909242,173.414180447928,191.304067904345,17.8898874564175,2012,211,29,427.076801280834,"Tipsoo",2012-07-29,"MRNP120727_9481.2012-07-29.46.871955.-121.515345",NA,NA,NA,NA,NA
5468,10226,9868012845,"76338027@N06","38cd51fb8c",3792,4,"MRNP120727_9452",1,0,0,1379829984,"2012-07-29",0,0,"washington unitedstates mountrainer naches greatnature",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm4.staticflickr.com/3792/9868012845_38cd51fb8c_z.jpg",426,640,NA,NA,NA,2012,"http://flickr.com/photos/76338027@N06/9868012845",-121.515506,46.872286,0,1656.12670898438,9.65808010101318,7824.28125,141.034271240234,323.609962903258,0.532124996185303,2147483647,-0.522415498076953,613126.5,5192041.5,0.472852685695152,53567,2163,563,2163,2012,191.536483238394,182.619565045484,200.550685157598,17.9311201121144,2012,211,19,439.581458311762,"Tipsoo",2012-07-29,"MRNP120727_9452.2012-07-29.46.872286.-121.515506",NA,NA,NA,NA,NA
5469,10227,9868003404,"76338027@N06","17fa7388ed",7412,8,"MRNP120727_9453",1,0,0,1379829985,"2012-07-29",0,0,"washington unitedstates mountrainer naches greatnature",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm8.staticflickr.com/7412/9868003404_17fa7388ed_z.jpg",426,640,NA,NA,NA,2012,"http://flickr.com/photos/76338027@N06/9868003404",-121.515492,46.87228,0,1656.50891113281,11.0128507614136,8348.9833984375,143.658157348633,309.998162756469,0.493999987840652,2147483647,-0.0620852690008178,613129.5,5192041.5,0.472656592854094,53567,2163,563,2163,2012,189.487866270344,180.570947188852,198.401680653994,17.830733465142,2012,211,22,441.753543800018,"Tipsoo",2012-07-29,"MRNP120727_9453.2012-07-29.46.87228.-121.515492",NA,NA,NA,NA,NA
5470,10228,9867994424,"76338027@N06","1e7dc3bdea",7353,8,"MRNP120727_9454",1,0,0,1379829986,"2012-07-29",0,0,"washington unitedstates pasqueflower mountrainer naches greatnature",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm8.staticflickr.com/7353/9867994424_1e7dc3bdea_z.jpg",426,640,NA,NA,NA,2012,"http://flickr.com/photos/76338027@N06/9867994424",-121.515489,46.87228,0,1656.50891113281,11.0128507614136,8348.9833984375,143.658157348633,309.998162756469,0.493999987840652,2147483647,-0.0620852690008178,613129.5,5192041.5,0.472656592854094,53567,2163,563,2163,2012,189.487866270344,180.570947188852,198.401680653994,17.830733465142,2012,211,22,441.753543800018,"Tipsoo",2012-07-29,"MRNP120727_9454.2012-07-29.46.87228.-121.515489",NA,NA,NA,NA,NA
5471,10229,9868097093,"76338027@N06","2ae50d8b91",3798,4,"MRNP120727_9468",1,0,0,1379829986,"2012-07-29",0,0,"washington unitedstates pasqueflower mountrainer naches greatnature",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm4.staticflickr.com/3798/9868097093_2ae50d8b91_z.jpg",426,640,NA,NA,NA,2012,"http://flickr.com/photos/76338027@N06/9868097093",-121.515509,46.87193,0,1660.68774414062,16.3843097686768,7378.0322265625,126.608322143555,296.916029449402,0.468250006437302,2147483647,0.619138314521251,613126.5,5192002.5,0.471849735617629,53567,2163,563,2163,2012,186.175641127629,177.265073060945,195.391365025973,18.1262919650276,2012,211,25,413.574871603611,"Tipsoo",2012-07-29,"MRNP120727_9468.2012-07-29.46.87193.-121.515509",NA,NA,NA,NA,NA
5472,10230,9867991566,"76338027@N06","276eea1b66",7437,8,"MRNP120727_9469",1,0,0,1379829987,"2012-07-29",0,0,"washington unitedstates pasqueflower mountrainer naches greatnature",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm8.staticflickr.com/7437/9867991566_276eea1b66_z.jpg",426,640,NA,NA,NA,2012,"http://flickr.com/photos/76338027@N06/9867991566",-121.515506,46.87193,0,1661.21215820312,15.6850271224976,7318.998046875,129.524765014648,311.934842900283,0.457500010728836,2147483647,0.761459206181598,613129.5,5192002.5,0.471849735617629,53567,2163,563,2163,2012,186.115749158188,177.214940247679,195.264750794915,18.0498105472359,2012,211,25,415.882807279074,"Tipsoo",2012-07-29,"MRNP120727_9469.2012-07-29.46.87193.-121.515506",NA,NA,NA,NA,NA
