X.1,X,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,datetaken,datetakengranularity,datetakenunknown,tags,accuracy,context,place_id,woeid,geo_is_family,geo_is_friend,geo_is_contact,geo_is_public,url_z,height_z,width_z,url_o,height_o,width_o,year,URL,long,lat,canopy_pct,elevation,slope,srad,stream_dist,asp,cold_air_ind,srad_noc,relev_30m,X_UTM,Y_UTM,acc_times,grid100,grid500,grid1000,grid5000,water_year,sdd_pred,sdd_lwr,sdd_upr,sdd_range,yearfact,datetaken_DOY,days_since_snow,min_dist_center,nearest_center,datePOSIX,UniqueID,Collector,Species,Phenophase,Nonfocal_spp,Notes
5946,11255,7286717026,21228841@N02,4159192c8e,7215,8,Mt. Rainier Hike Crystal Lake 2012,1,0,0,1338212789,5/27/12,0,0,,16,0,MB2I7nhTWr2RgYoVzQ,28747447,0,0,0,1,https://farm8.staticflickr.com/7215/7286717026_4159192c8e_z.jpg,640,457,https://farm8.staticflickr.com/7215/7286717026_c0d5ac180b_o.jpg,3121,2229,2012,http://flickr.com/photos/21228841@N02/7286717026,-121.533851,46.911519,1,1253.892212,29.88981247,4916.842285,47.80864716,286.4585172,0.502624989,1656017,-1.041772692,611647.5,5196373.5,1.095718334,37427,1485,372,1485,2012,150.1482461,140.8850631,159.4586969,18.57363384,2012,148,-2,4779.23157,Tipsoo,5/27/12,Mt. Rainier Hike Crystal Lake 2012.2012-05-27.46.911519.-121.533851,IB,nf,nf,0,
5525,10316,8012834393,94673823@N00,28515b8904,8439,9,Mt Rainier NP,1,0,0,1348340210,5/29/12,0,0,usa coast tiere highway mt pacific falls rainier np v’_gel 2012 narada pacificcoasthighway naradafalls mtrainiernp,16,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm9.staticflickr.com/8439/8012834393_28515b8904_z.jpg,428,640,NA,NA,NA,2012,http://flickr.com/photos/94673823@N00/8012834393,-121.746628,46.774986,1,1393.119995,3.412492514,7791.0625,27,220.7010977,0.493499994,2071264,4.128985191,595687.5,5180923.5,0.548820873,95018,3778,964,3778,2012,167.7020623,161.0726306,174.2398829,13.16725234,2012,150,-18,1441.103959,Paradise,5/29/12,Mt Rainier NP.2012-05-29.46.774986.-121.746628,IB,nf,nf,0,
5518,10309,8012936365,94673823@N00,2358e74c72,8034,9,Mt Rainier NP,1,0,0,1348342377,5/29/12,0,0,road usa coast highway paradise mt pacific rainier np 2012 pacificcoasthighway mtrainiernp paradiseroad,16,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm9.staticflickr.com/8034/8012936365_2358e74c72_z.jpg,428,640,NA,NA,NA,2012,http://flickr.com/photos/94673823@N00/8012936365,-121.750823,46.773733,1,1386.852173,2.209988594,6241.418945,90.55753326,207.9704708,0.397624999,2285888,7.983980678,595369.5,5180776.5,0.534024302,95764,3852,963,3852,2012,166.3742737,157.5380595,174.9354627,17.39740318,2012,150,-16,1744.01768,Paradise,5/29/12,Mt Rainier NP.2012-05-29.46.773733.-121.750823,IB,nf,nf,0,
5517,10308,8012958841,94673823@N00,db321c0ced,8436,9,Mt Rainier NP,1,0,0,1348342846,5/29/12,0,0,road usa coast highway paradise mt pacific rainier np 2012 pacificcoasthighway mtrainiernp paradiseroad,16,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm9.staticflickr.com/8436/8012958841_db321c0ced_z.jpg,428,640,NA,NA,NA,2012,http://flickr.com/photos/94673823@N00/8012958841,-121.777612,46.771794,1,1281.344482,43.41916275,4449.212891,61.85197449,305.0612898,0.333999991,1101100,0.913920406,593326.5,5180530.5,0.499604453,96494,3848,961,3848,2012,147.7048138,141.7982434,153.8988408,12.10059733,2012,150,2,3513.541095,Paradise,5/29/12,Mt Rainier NP.2012-05-29.46.771794.-121.777612,IB,nf,nf,0,
5531,10329,8012600502,94673823@N00,227541cc95,8302,9,Narada Falls,1,0,0,1348335069,5/30/12,0,0,usa coast highway mt pacific falls rainier np 2012 narada pacificcoasthighway naradafalls mtrainiernp,16,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm9.staticflickr.com/8302/8012600502_227541cc95_z.jpg,428,640,NA,NA,NA,2012,http://flickr.com/photos/94673823@N00/8012600502,-121.746309,46.775025,0,1384.947754,39.39788437,6791.193359,3.269729614,114.0518531,0.573249996,1685984,2.851548252,595711.5,5180926.5,0,95018,3778,964,3778,2012,160.3419471,153.8852228,166.7273964,12.84217358,2012,151,-9,1426.064988,Paradise,5/30/12,Narada Falls.2012-05-30.46.775025.-121.746309,IB,nf,nf,0,
5530,10328,8012618758,94673823@N00,ffcb2aa866,8318,9,Narada Falls,1,0,0,1348335457,5/30/12,0,0,usa coast highway mt pacific falls rainier np 2012 narada pacificcoasthighway naradafalls mtrainiernp,16,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm9.staticflickr.com/8318/8012618758_ffcb2aa866_z.jpg,640,428,NA,NA,NA,2012,http://flickr.com/photos/94673823@N00/8012618758,-121.746406,46.774983,0.666666687,1389.868896,57.95635223,4679.414063,9,99.66439493,0.568374991,1754341,7.006824385,595705.5,5180923.5,0.590043715,95018,3778,964,3778,2012,147.5962071,138.8716114,156.5154376,17.64382613,2012,151,3,1431.727611,Paradise,5/30/12,Narada Falls.2012-05-30.46.774983.-121.746406,IB,nf,nf,0,
5539,10347,8012105737,94673823@N00,fedcee68b2,8318,9,Mt Rainier NP,1,0,0,1348324489,5/31/12,0,0,usa coast highway mt pacific rainier np 2012 pacificcoasthighway mtrainiernp,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm9.staticflickr.com/8318/8012105737_fedcee68b2_z.jpg,428,640,NA,NA,NA,2012,http://flickr.com/photos/94673823@N00/8012105737,-121.716642,46.766897,1,1449.776611,23.40804482,8346,33.02524185,321.4405036,0.477625012,1388800,3.521343436,597991.5,5180059.5,0.643237251,98416,3933,1004,3933,2012,162.2494221,156.1885218,168.2913132,12.10279139,2012,152,-10,2600.203835,Paradise,5/31/12,Mt Rainier NP.2012-05-31.46.766897.-121.716642,IB,nf,nf,0,
5538,10346,8012127250,94673823@N00,c553e1c99f,8029,9,Mt Rainier NP,1,0,0,1348324857,5/31/12,0,0,usa coast highway mt pacific rainier np 2012 pacificcoasthighway mtrainiernp,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm9.staticflickr.com/8029/8012127250_c553e1c99f_z.jpg,428,640,NA,NA,NA,2012,http://flickr.com/photos/94673823@N00/8012127250,-121.698128,46.765025,0,1304.588867,9.481003761,7570.493164,121.941246,25.80894897,0.513249993,1377194,-3.25405181,599407.5,5179876.5,0.668976466,99180,3936,1006,3936,2012,167.3628363,160.8563054,173.4113354,12.55503,2012,152,-15,3734.301865,Paradise,5/31/12,Mt Rainier NP.2012-05-31.46.765025.-121.698128,IB,nf,nf,0,
5535,10334,8012451032,94673823@N00,61e3a9ed1b,8318,9,Narada Falls,1,0,0,1348331919,5/31/12,0,0,usa coast highway mt pacific rainier np 2012 pacificcoasthighway mtrainiernp,16,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm9.staticflickr.com/8318/8012451032_61e3a9ed1b_z.jpg,640,428,NA,NA,NA,2012,http://flickr.com/photos/94673823@N00/8012451032,-121.746475,46.775155,0.666666687,1394.456665,3.574580908,5692.198242,17.10752487,236.634544,0.527750015,1923562,2.19254031,595699.5,5180941.5,0.547390606,95018,3778,964,3778,2012,172.1076974,166.0413789,177.7486063,11.70722738,2012,152,-20,1419.48391,Paradise,5/31/12,Narada Falls.2012-05-31.46.775155.-121.746475,IB,nf,nf,0,
5534,10332,8012517889,94673823@N00,078c0c43f2,8321,9,Blick auf das Eis des Louise Lake,1,0,0,1348333440,5/31/12,0,0,usa lake coast highway mt pacific louise rainier np 2012 pacificcoasthighway mtrainiernp louiselake,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm9.staticflickr.com/8321/8012517889_078c0c43f2_z.jpg,428,640,NA,NA,NA,2012,http://flickr.com/photos/94673823@N00/8012517889,-121.721948,46.767219,0.111111112,1475.525513,37.12360001,5265.945313,41.20275497,39.24649269,0.49425,1253321,1.715453716,597586.5,5180089.5,0.665931374,98037,3932,1004,3932,2012,167.1127412,161.6063048,172.8838183,11.27751356,2012,152,-15,2355.35622,Paradise,5/31/12,Blick auf das Eis des Louise Lake.2012-05-31.46.767219.-121.721948,IB,nf,nf,0,
