id,owner,secret,server,farm,title,accuracy,place_id,woeid,dateupload,datetaken,tags,URL,SPECIES,PHEN_PHASE,UTM_X,UTM_Y,rough,can_ht,can_pct,elev,isolt,slope,srad,tci_max,tci,snow_melt,ndvi,lidar_int,pond_stream,stream_dist,asp,relev_30m,snow_diss_2013,long,lat
12676528793,28839353@N03,cefd60ac75,7445,8,Mount Rainier from Silver Forest,16,aRjt_z5TV7oQHRXh,2502312,1392993601,7/18/13 21:21,longexposure flowers sunset summer usa mountain mountains nature beautiful night forest sunrise iso100 washington nationalpark scenery colorful paradise view nocturnal dusk peaceful wideangle mountrainier mountrainiernationalpark stunning bluehour wilderness canonef1740mmf4lusm hdr magnificent naturephotography 32mm clearskies silverforest bracketed natureview ef1740mmf4lusm northwestusa majestical amateurphotography canon5dmarkii vision:sunset=059 vision:mountain=0857 vision:outdoor=099 vision:sky=0979 vision:clouds=0965,http://flickr.com/photos/28839353@N03/12676528793,Anemone occidentalis,RIPENING FRUIT,602619.1977,5194645.388,-2.430007458,1.262400031,0,1354.746704,10.77777767,7.885644913,8377.092773,10.07327366,7.341143608,0,0.129411772,127.3333359,0,4.146598816,132.4075102,0.150057146,161.2199542,-121.65277,46.897416
10097664953,7828709@N02,71f2a257ec,5325,6,Panorama in Paradise Valley,14,Sq8PmjxTVrxcEJpp,2468166,1392586177,8/3/13 19:54,flowers panorama paradise trail mountrainiernationalpark tatooshrange,http://flickr.com/photos/7828709@N02/10097664953,Anemone occidentalis,RIPENING FRUIT,596817.0611,5183012.134,-3.015406609,0.277999997,0,1730.42334,12,13.33320713,9213.140625,6.458613873,6.213452816,1,-0.032520324,148.5555573,0,41.78117752,242.0908442,-0.291413798,190.436178,-121.73139,46.793625
12229155155,98148048@N06,a5c3da5237,7325,8,"""Western Anemone - macro"" by Carla Gramlich",16,Uf8Je5pQUL._aKXH3A,12590466,1391132909,8/14/13 9:44,14-Jan,http://flickr.com/photos/98148048@N06/12229155155,Anemone occidentalis,RIPENING FRUIT,612912.3119,5191733.935,-1.268799186,2.596299887,0,1614.723389,10.83333302,16.27764511,7426.535645,18.0393219,10.24925327,0,0.134020612,159.4444427,0.111111112,1.072983861,222.7265945,-0.738559278,174.8735865,-121.518403,46.869555
12185823003,92673490@N08,70315d8f36,3811,4,"Mt. Rainier National Park, Washington",16,Sq8PmjxTVrxcEJpp,2468166,1390896674,8/25/13 12:04,red summer washington hiking glacier mtrainier vision:mountain=0644 vision:clouds=0592 vision:outdoor=0951 vision:sky=0734,http://flickr.com/photos/92673490@N08/12185823003,Anemone occidentalis,RIPENING FRUIT,596505.6828,5183519.848,-3.074389696,2.486000061,0,1862.234497,13.05555534,7.589579582,9296.837891,7.096304893,6.903185368,1,-0.140811458,87.44444275,0,27.47119713,261.8490504,1.955285683,188.4895825,-121.735362,46.798238
11866085976,99357189@N00,d664bd46f5,5549,6,the beckoning trail,15,Sq8PmjxTVrxcEJpp,2468166,1389328969,8/13/13 16:50,paradise meadow hiker wildflowers mtrainiernationalpark vision:mountain=0855 vision:outdoor=099 vision:sky=0603 vision:plant=0731,http://flickr.com/photos/99357189@N00/11866085976,Anemone occidentalis,RIPENING FRUIT,596714.0289,5182594.105,-2.093199492,1.083699942,0,1694.835571,11.77777767,15.86034203,8978.732422,9.238262177,8.56167984,0,-0.152838424,183.1111145,0,11.32355785,98.47298329,0.656487209,184.3305152,-121.732828,46.789879
11865239755,99357189@N00,a201e15fb0,2879,3,cool hand luke,15,Sq8PmjxTVrxcEJpp,2468166,1389328984,8/13/13 16:52,bridge stream paradise lucas mtrainiernationalpark paradisecreek vision:sky=0558 vision:plant=0681 vision:outdoor=0956,http://flickr.com/photos/99357189@N00/11865239755,Anemone occidentalis,RIPENING FRUIT,596714.0289,5182594.105,-2.093199492,1.083699942,0,1694.835571,11.77777767,15.86034203,8978.732422,9.238262177,8.56167984,0,-0.152838424,183.1111145,0,11.32355785,98.47298329,0.656487209,184.3305152,-121.732828,46.789879
11361293966,76338027@N06,27b8b99b9a,7373,8,MRNP130810_27118,16,Uf8Je5pQUL._aKXH3A,12590466,1387007412,8/10/13 15:06,washington unitedstates mountrainiernationalpark enumclaw chinookpass highway410 tipsoolake vision:mountain=0812 vision:outdoor=0967 vision:plant=0936,http://flickr.com/photos/76338027@N06/11361293966,Anemone occidentalis,RIPENING FRUIT,612975.2412,5191619.071,-2.373440981,0.186700001,0,1615.280029,11.83333302,13.93689346,8769.969727,8.433783531,8.080312729,0,-0.053941909,188.8888855,0,3.878457069,111.816101,-0.566465167,175.1344276,-121.517606,46.868511
11361317394,76338027@N06,a423f8be8b,2823,3,MRNP130810_27138,16,Uf8Je5pQUL._aKXH3A,12590466,1387007413,8/10/13 15:14,washington unitedstates mountrainiernationalpark enumclaw chinookpass highway410 tipsoolake vision:mountain=0922 vision:outdoor=0983 vision:sky=0529 vision:plant=0938,http://flickr.com/photos/76338027@N06/11361317394,Anemone occidentalis,FLOWERING,612969.3544,5191595.727,-3.042667866,0.079899997,0,1614.581055,11.38888931,5.794889927,8827.392578,11.5497303,9.192050934,0,-0.432835817,129.3333282,0.333333343,0.934912622,118.5173352,-1.158454967,180.60218,-121.517689,46.868302
11361405083,76338027@N06,93240ac969,7296,8,MRNP130810_27115,16,Uf8Je5pQUL._aKXH3A,12590466,1387007410,8/10/13 15:06,washington unitedstates mountrainiernationalpark enumclaw chinookpass highway410 tipsoolake vision:mountain=0945 vision:outdoor=099 vision:sky=0696 vision:plant=0856,http://flickr.com/photos/76338027@N06/11361405083,Anemone occidentalis,RIPENING FRUIT,612977.8568,5191625.901,-2.597634554,0.067400001,0,1615.641113,10.94444466,21.38840866,8381.360352,6.861115456,6.681574821,0,-0.044776119,203.777771,0,4.519800663,92.98621613,-0.284383395,171.1781417,-121.51757,46.868572
11361434633,76338027@N06,f2a4ecb36e,3786,4,MRNP130810_27102,16,Uf8Je5pQUL._aKXH3A,12590466,1387007407,8/10/13 15:02,washington unitedstates mountrainiernationalpark enumclaw chinookpass highway410 tipsoolake vision:mountain=0959 vision:plant=0951 vision:clouds=0565 vision:outdoor=0969 vision:sky=0667,http://flickr.com/photos/76338027@N06/11361434633,Anemone occidentalis,RIPENING FRUIT,612981.9559,5191642.986,-3.549144506,0.067299999,0,1614.822266,11.83333302,10.75496674,8752.299805,7.796220779,7.274335384,0,-0.400921673,135,0,3,80.93096869,-0.548183501,176.2299315,-121.517512,46.868725
