Number,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,datetaken,datetakengranularity,datetakenunknown,tags,accuracy,context,place_id,woeid,geo_is_family,geo_is_friend,geo_is_contact,geo_is_public,url_z,height_z,width_z,url_o,height_o,width_o,year,URL,UTME,UTMN,lat,long
1,21431885713,10725258@N00,a1310cea13,589,1,Nisqually River Bridge,1,0,0,1444396073,7/11/15 14:59,0,0,washington mountrainier mountrainiernationalpark nisquallyriver nisquallyriverbridge uwd2015,15,0,YyvdiXtQUL.qk8cwNQ,12590460,0,0,0,1,https://farm1.staticflickr.com/589/21431885713_a1310cea13_z.jpg,640,425,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21431885713,593085.2059,5180509.817,-121.780786,46.771643
2,21865048188,10725258@N00,80c331250a,723,1,changes in glass technology,1,0,0,1444395602,7/11/15 13:10,0,0,windows glass washington paradise interior mountrainier mountrainiernationalpark paradiseinn uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/723/21865048188_80c331250a_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21865048188,596643.3693,5182250.849,-121.733826,46.786801
3,21833356750,10725258@N00,7552b412a9,5775,6,Skyline Trail watercolor,1,0,0,1444234410,7/11/15 11:04,0,0,trees cloud washington hiking painted trail mountrainier mountrainiernationalpark skylinetrail uwd2015,15,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm6.staticflickr.com/5775/21833356750_7552b412a9_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21833356750,596892.157,5182923.537,-121.730425,46.792817
4,21995309396,10725258@N00,d1444a67f3,717,1,"Skyline Trail, low ceiling",1,0,0,1444234410,7/11/15 11:04,0,0,trees cloud washington hiking trail mountrainier mountrainiernationalpark skylinetrail uwd2015,15,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/717/21995309396_d1444a67f3_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21995309396,596892.157,5182923.537,-121.730425,46.792817
5,21400315223,10725258@N00,1757630217,732,1,wildflower fireworks (3 of 4),1,0,0,1444233937,7/11/15 11:02,0,0,flowers washington mountrainier mountrainiernationalpark wildflowers blooming bloomage skylinetrail uwd2015,15,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/732/21400315223_1757630217_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21400315223,597389.6064,5182954.49,-121.723902,46.793023
6,21834527199,10725258@N00,ee4318bf0f,5632,6,wildflower fireworks (4 of 4),1,0,0,1444233937,7/11/15 11:39,0,0,flowers washington mountrainier mountrainiernationalpark wildflowers paintbrush lupine blooming bloomage skylinetrail magentapaintbrush uwd2015,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm6.staticflickr.com/5632/21834527199_ee4318bf0f_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21834527199,597917.9472,5182902.626,-121.716992,46.792479
7,22031296571,10725258@N00,928d0637de,632,1,wildflower fireworks (2 of 4),1,0,0,1444233936,7/11/15 11:01,0,0,flowers washington mountrainier mountrainiernationalpark wildflowers blooming bloomage skylinetrail uwd2015,15,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/632/22031296571_928d0637de_z.jpg,425,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/22031296571,597136.37,5183017.296,-121.727206,46.793625
8,21833562898,10725258@N00,c4b2449859,5695,6,wildflower fireworks (1 of 4),1,0,0,1444233936,7/11/15 10:59,0,0,flowers washington mountrainier mountrainiernationalpark wildflowers paintbrush blooming bloomage skylinetrail uwd2015,15,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm6.staticflickr.com/5695/21833562898_c4b2449859_z.jpg,517,640,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21833562898,597297.6319,5182972.56,-121.725103,46.793199
9,21834148959,10725258@N00,d7c5533291,655,1,sprayed some sunshine on it,1,0,0,1444232219,7/11/15 10:46,0,0,creek washington painted overcast mountrainier mountrainiernationalpark skylinetrail edithcreek uwd2015,15,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/655/21834148959_d7c5533291_z.jpg,640,425,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21834148959,596689.2352,5182810.892,-121.733107,46.791833
10,21812467158,10725258@N00,8ec6f3cc6c,642,1,Myrtle Falls,1,0,0,1444156913,7/11/15 10:43,0,0,waterfall washington mountrainier mountrainiernationalpark myrtlefalls rivulets edithcreek uwd2015,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm1.staticflickr.com/642/21812467158_8ec6f3cc6c_z.jpg,640,425,NA,NA,NA,2015,http://flickr.com/photos/10725258@N00/21812467158,596737.5498,5182759.319,-121.732485,46.791362
