"","X","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","dateupload","datetaken","datetakengranularity","datetakenunknown","tags","accuracy","context","place_id","woeid","geo_is_family","geo_is_friend","geo_is_contact","geo_is_public","url_z","height_z","width_z","url_o","height_o","width_o","year","URL","long","lat","canopy_pct","elevation","slope","srad","stream_dist","asp","cold_air_ind","srad_noc","relev_30m","X_UTM","Y_UTM","acc_times","grid100","grid500","grid1000","grid5000","water_year","sdd_pred","sdd_lwr","sdd_upr","sdd_range","yearfact","datetaken_DOY","days_since_snow","min_dist_center","nearest_center"
"1482",3261,11019490116,"94775257@N05","890c7426b3",5471,6,"Jeremy's first visit to the snow - at Mt Ranier - 22",1,0,0,1385256615,2010-02-21,0,0,"gps",16,0,"Sq8PmjxTVrxcEJpp",2468166,0,0,0,1,"https://farm6.staticflickr.com/5471/11019490116_890c7426b3_z.jpg",480,640,"https://farm6.staticflickr.com/5471/11019490116_17ab1305f6_o.jpg",3000,4000,2010,"http://flickr.com/photos/94775257@N05/11019490116",-121.735845,46.786275,0,1652.55554199219,2.53145432472229,8726.31640625,14.0119304656982,155.196819681148,0.583124995231628,2088790,-0.542225545889096,596491.5,5182189.5,0.655832629769334,90151,3630,927,3630,2010,192.370213602692,185.773476331648,198.811950625118,13.0384742934706,"2010",52,-140,61.4568345938671,"Paradise"
"1483",3262,11019398695,"94775257@N05","ffc2f0a135",3678,4,"Not sure what to make of the snow - 1",1,0,0,1385256602,2010-02-21,0,0,"gps",16,0,"Sq8PmjxTVrxcEJpp",2468166,0,0,0,1,"https://farm4.staticflickr.com/3678/11019398695_ffc2f0a135_z.jpg",427,640,"https://farm4.staticflickr.com/3678/11019398695_2b8ee71def_o.jpg",2848,4272,2010,"http://flickr.com/photos/94775257@N05/11019398695",-121.736306,46.786227,0,1653.08447265625,2.25945258140564,7791.96240234375,8.28679847717285,141.348724252095,0.550125002861023,2054862,0.00397132849548143,596455.5,5182183.5,0.670255627888481,90525,3630,927,3630,2010,191.567804771451,184.988513228877,198.170021432761,13.1815082038834,"2010",52,-140,35.5486322142382,"Paradise"
"1484",3263,11019485106,"94775257@N05","94b9bfae1d",2840,3,"Jeremy's first visit to the snow - at Mt Ranier - 10",1,0,0,1385256590,2010-02-21,0,0,"gps",16,0,"Sq8PmjxTVrxcEJpp",2468166,0,0,0,1,"https://farm3.staticflickr.com/2840/11019485106_94b9bfae1d_z.jpg",640,427,"https://farm3.staticflickr.com/2840/11019485106_7e4be625da_o.jpg",645,430,2010,"http://flickr.com/photos/94775257@N05/11019485106",-121.736306,46.786227,0,1653.08447265625,2.25945258140564,7791.96240234375,8.28679847717285,141.348724252095,0.550125002861023,2054862,0.00397132849548143,596455.5,5182183.5,0.670255627888481,90525,3630,927,3630,2010,191.567804771451,184.988513228877,198.170021432761,13.1815082038834,"2010",52,-140,35.5486322142382,"Paradise"
"1485",3281,7136430191,"52942008@N08","e7c77a6d8f",8026,9,"Looking Up The Highway",1,0,0,1335985603,2010-07-25,0,0,"usa snow washington unitedstates mountrainiernationalpark",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm9.staticflickr.com/8026/7136430191_e7c77a6d8f_z.jpg",480,640,"https://farm9.staticflickr.com/8026/7136430191_f6e7ce7e72_o.jpg",2304,3072,2010,"http://flickr.com/photos/52942008@N08/7136430191",-121.518906,46.867155,0,1611.75439453125,9.17936038970947,6866.9013671875,40.2326583862305,268.51093818339,0.493874996900558,1904408,-1.67797890070551,612880.5,5191465.5,0.499054463315392,55815,2238,563,2238,2010,177.46106009644,167.455504548,187.407526502664,19.9520219546648,"2010",206,29,281.295867062365,"Tipsoo"
"1486",3282,7136429055,"52942008@N08","3ddb2fec6c",8149,9,"Snow",1,0,0,1335985580,2010-07-25,0,0,"usa snow washington unitedstates mountrainiernationalpark",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm9.staticflickr.com/8149/7136429055_3ddb2fec6c_z.jpg",640,480,"https://farm9.staticflickr.com/8149/7136429055_667c4a63d9_o.jpg",3072,2304,2010,"http://flickr.com/photos/52942008@N08/7136429055",-121.518906,46.867155,0,1611.75439453125,9.17936038970947,6866.9013671875,40.2326583862305,268.51093818339,0.493874996900558,1904408,-1.67797890070551,612880.5,5191465.5,0.499054463315392,55815,2238,563,2238,2010,177.46106009644,167.455504548,187.407526502664,19.9520219546648,"2010",206,29,281.295867062365,"Tipsoo"
"1487",3283,6990341262,"52942008@N08","106d097efd",7053,8,"Sign",1,0,0,1335985530,2010-07-25,0,0,"usa sign washington rocks unitedstates mountrainiernationalpark",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm8.staticflickr.com/7053/6990341262_106d097efd_z.jpg",640,480,"https://farm8.staticflickr.com/7053/6990341262_243b02678f_o.jpg",3072,2304,2010,"http://flickr.com/photos/52942008@N08/6990341262",-121.518906,46.867155,0,1611.75439453125,9.17936038970947,6866.9013671875,40.2326583862305,268.51093818339,0.493874996900558,1904408,-1.67797890070551,612880.5,5191465.5,0.499054463315392,55815,2238,563,2238,2010,177.46106009644,167.455504548,187.407526502664,19.9520219546648,"2010",206,29,281.295867062365,"Tipsoo"
"1488",3284,6990331714,"52942008@N08","bd3809fa33",8165,9,"Snow",1,0,0,1335985330,2010-07-25,0,0,"usa snow washington unitedstates mountrainiernationalpark",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm9.staticflickr.com/8165/6990331714_bd3809fa33_z.jpg",480,640,"https://farm9.staticflickr.com/8165/6990331714_a8b04d937e_o.jpg",2304,3072,2010,"http://flickr.com/photos/52942008@N08/6990331714",-121.518906,46.867155,0,1611.75439453125,9.17936038970947,6866.9013671875,40.2326583862305,268.51093818339,0.493874996900558,1904408,-1.67797890070551,612880.5,5191465.5,0.499054463315392,55815,2238,563,2238,2010,177.46106009644,167.455504548,187.407526502664,19.9520219546648,"2010",206,29,281.295867062365,"Tipsoo"
"1489",3285,6990328918,"52942008@N08","3b47764398",7126,8,"Mount Rainier",1,0,0,1335985272,2010-07-25,0,0,"usa mountain snow mountains washington unitedstates mountrainier mountrainiernationalpark",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm8.staticflickr.com/7126/6990328918_3b47764398_z.jpg",480,640,"https://farm8.staticflickr.com/7126/6990328918_76be8872d9_o.jpg",2304,3072,2010,"http://flickr.com/photos/52942008@N08/6990328918",-121.518906,46.867155,0,1611.75439453125,9.17936038970947,6866.9013671875,40.2326583862305,268.51093818339,0.493874996900558,1904408,-1.67797890070551,612880.5,5191465.5,0.499054463315392,55815,2238,563,2238,2010,177.46106009644,167.455504548,187.407526502664,19.9520219546648,"2010",206,29,281.295867062365,"Tipsoo"
"1490",3286,7136398411,"52942008@N08","fcd14f528c",7270,8,"Mount Rainier",1,0,0,1335984937,2010-07-25,0,0,"usa mountain snow mountains washington unitedstates mountrainier mountrainiernationalpark",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm8.staticflickr.com/7270/7136398411_fcd14f528c_z.jpg",480,640,"https://farm8.staticflickr.com/7270/7136398411_c5e374c986_o.jpg",2304,3072,2010,"http://flickr.com/photos/52942008@N08/7136398411",-121.518906,46.867155,0,1611.75439453125,9.17936038970947,6866.9013671875,40.2326583862305,268.51093818339,0.493874996900558,1904408,-1.67797890070551,612880.5,5191465.5,0.499054463315392,55815,2238,563,2238,2010,177.46106009644,167.455504548,187.407526502664,19.9520219546648,"2010",206,29,281.295867062365,"Tipsoo"
"1491",3287,6990311914,"52942008@N08","05e7e431e5",8145,9,"Mount Rainier",1,0,0,1335984920,2010-07-25,0,0,"usa mountain snow mountains washington unitedstates mountrainier mountrainiernationalpark",16,0,"Uf8Je5pQUL._aKXH3A",12590466,0,0,0,1,"https://farm9.staticflickr.com/8145/6990311914_05e7e431e5_z.jpg",480,640,"https://farm9.staticflickr.com/8145/6990311914_50e817c568_o.jpg",2304,3072,2010,"http://flickr.com/photos/52942008@N08/6990311914",-121.518906,46.867155,0,1611.75439453125,9.17936038970947,6866.9013671875,40.2326583862305,268.51093818339,0.493874996900558,1904408,-1.67797890070551,612880.5,5191465.5,0.499054463315392,55815,2238,563,2238,2010,177.46106009644,167.455504548,187.407526502664,19.9520219546648,"2010",206,29,281.295867062365,"Tipsoo"
